content,at
"Tiap kali mau buka aplikasi selalu munculnya TERJADI KESALAHAN, tiap mau cek kuota krn lemot atau mau perpanjang Selalu TERJADI KESALAHAN. Mintanya di update ujung²nya TERJADI KESALAHAN terus sampai berjam². Ujung²nya selalu hrs uninstall dl trs instal ulang baru bisa login. Ga jelas bgt. Sdh banyak yg komplain loo, kok ga diperbaiki kualitasnya",2021-07-06 21:23:23
"Dari semalam bahkan sampai hr ini , jrgn sy tdk bs digunakan, padahal jrgn sy aman aman aja, buka aplikasi apapun tdk bs, paket sy jg masi ada, waktu sy ubah ke wifi semua pesan masuk, ini by.U knp? kok sering sekali bermasalah? tlg solusinyaa!",2022-04-05 07:07:14
"Hai kak, maaf ya.. Seriusan nih, makin kesini sinyal makin buruk, Sering trouble juga. Sampe buat balas WhatsApp aja gabisa. Tinggal di pinggiran kota Surabaya, APN sudah di setting ""byu"". Bikin jengkel user lama aja... padahal udah terlanjur sayang. Tolong perbaiki dong, kalau tidak bisa maju ke arah yang lebih baik setidaknya balikin kayak dulu agar tetap kelihatan konsisten.",2022-01-04 09:30:19
"Update terus, padahal pilihan paketnya gk berubah, kebanyakan fitur gk penting bikin banyak memori padahal buat beli paket aja, apalagi kalo gk update gk bisa dipake jd mau ganti provider deh. Jaringannya juga lelet bener. CS nya juga tunggu antrian sampai berhari hari. Gk kaya cs lain gercep",2021-04-06 05:35:30
"Jaringan gak stabil Apalagi kalau mau isi data sama topping. Error terus aplikasinya. Jadi susah. Kalo masih jelek ky gini , ssbaiknya kasih opsi cara lain buat isi data. Jangan ngandelin aplikasi doang. Pake isi pulsa lewat biasa sama isi data lewat biasa aja. Jadi susah nih",2021-06-04 06:06:51
Jaringan nya lemot parah..ngak ada kualitas..kecepatan jaringan cuman 20kb/dtik..ini kalau ngak ada perbaikan..gulung tikar aja bos.. kenapa sih signal nya sangat mengecewakan..2tahun saya make by.u..selalu lemot..coba bertahan bukan karna suka..tpi karna ribet daftarin nik lagi..ini ada niat memperbaiki kah..gk malu sama rating yg di beri pengguna.. Sadar lah wahai pemilik by.u..sadaaarrrr..,2022-09-18 09:39:57
"Mantav si by.u, tarifnya lumayan murah. Tp sayang kadang sinyal hilang tiba², pernah suatu waktu dari mode pesawat sampe reboot hp belum muncul juga, musti nunggu hari berikutnya baru muncul lagi.",2020-07-05 22:36:08
"Saya pemakai by.u baru sehari,ko ga sesuai sih... 10gb di pake bentar udah 2gb aja padahal hp ga aktif banget,giliran saya pake provider lama ga boros banget,malah baru dihidupin bentar udah diputus datanya katanya udah lewat batas pemakaian,apa emang gitu ya sistemnya. Sebagai pengguna baru saya sedikit kecewa sih,maaf bintang satu saya kasih.",2020-10-01 06:24:06
"Hai kakk ,, aku udah langganan byU 11 bulan ini , awalnya lancar tapi bberapa bulan terakhir ini kenapa yaa beli paket yg mana aja kok tetep jaringan sinyal lemah , kadang 4G, kadang H+ loading internet lama banget ,, Aku lebih suka produk Telkomsel yang biaya mahal tp sinyal lancar terus , dripda sekarang harga dimurahin sama kayak kompetitor tp kualitas sinyal malah anjlok kak ... Tolong dibenahin kak .. 😔",2020-12-15 12:23:08
"Paket murah tapi Banyak masalah, dari awal beli stabilitas jaringan internet kurang, saya pikir masih Oke karna murah, tapi sekarang malah gk bisa terima sms jadi buat terima notif OTP gk bisa jadi gk bisa masuk apknya, dan pulsa yg di isi gk masuk, gk tau ini masalah HP saya atau emang dari kartunya. Terimakasih.",2024-06-02 14:53:16
"Seperti biasa, awalnya doang bagus, makin kesini makin parah jaringannya, waktu saya tulis ini jaringan internet sdg hilang (tidak ada layanan) sudah 2 hari timbul hilang timbul hilang dan skrg malah tidak bisa login ke aplikasi, sekarang saya sdg pake wifi.. Tolong segera diperbaiki itu sinyal 4Gnya kalau tidak mau disumpahin orang banyak, kerjamu gak ada hasil dan bakalan hidup susah terus.",2023-11-09 21:25:20
"Aplikasi sering Force Close, provider serba digital tapi untuk applikasi yg diluncurkan belum dilakukan RND terlebih dahulu, ga kompatible ke semua versi OS.. 1. Saya sudah update versi terbau 2. Tanggal dan waktu sudah sesuai 3. OS juga sudah update Tapi setiap buka pakai Wifi ataupun Data Seluler, applikasi saya blank dan Force Close.. Tolong diperbaiki lah sudah 1 Minggu tidak bisa check Kuota",2020-02-17 22:30:46
"Kuota terasa lebih boros cepat habis dibandingkan pake kartu xl dgn pemakain yg hampir sama dan kecepatan yg sama. Dan Aplikasi sering minta di perbaharui dan kesannya maksa kalau g diperbaharui sama sekali g bisa buka aplikasi tpi tampilan dan perogramnya gada yg rubah sama sekali,",2021-01-26 08:47:08
"Sinyal kurang baik di daerah saya. Namun bisa diatasi dengan mengganti ke apn telkomsel yang jauh lebih baik. Kendala saya yang sangat saya resahkan adalah kenapa apknya kadang susah dimulai dan ngestuck di loading terus. Saya jadi tidak bisa top up dan mengecek saldo kuota/pulsa/toping. Kuota auto habis terus baru beli habis 10gb habis 1jam ga ngapa ngapain, dari sistem sendiri cuma kepake 128MB sisanya angus entah kemana, eh besoknya muncul tinggal 3gb Ngebug gitu terus",2021-04-05 20:32:26
"Tolong admin..bisa infokan tempat untuk ganti kartu simcard baru di kota bandung, karena karu simcardnya tiba² gak bisa terbaca di hp, dan saya ingin secara langsung diproses nya di gerai..tanpa menguakan aplikasi byU..karena menu ganti kartu di aplikasi byU sudah update atau di ulang² beberapa kali..tetap menu ganti kartu ya tidak berfungsi..",2024-07-21 12:36:04
"Byu tolong lah jelasin kenpa signalnya hanya bisa di area dapur dan ruang tamu rumah saja, sedangakn d ruang lainya atau bahkan keluar tidak ada jaringan. Sudah berkali komplen dan mengikuti instruksinya tapi gk ada perubahan sama sekali, mungkin tolong perluas lagi lah jaringannya karna di daerah saya jaringan telkom tidak begitu luas.",2021-02-07 21:29:22
"aplikasi selalu bermasalah, jaringan juga selalu hilang di 4g+ , padahal device saya sudah support 5g.. chat ke customer service, dah kaya ngobrol sama robot dibalesnya, bener"" ga dikasih solusi.. kendala ini sering banget ya guys, ga cuma sekali 2x, ampe puluhan kali mungkin saya alami tapi ga ada kemajuan dan masih tetap sama.. sekelas provider TELKOMSEL, masa iya pelayanannya kaya begini.. selalu dan selalu bilang airplane mode lah, restart hp lah..padahal ujungnya tetep sama..parah !!",2024-10-22 22:54:17
"Sampah sampah, streaming 360p aja ga sampe 5 detik loading lagi, paling disuruh ke ig pindah slot SIM/restart HP/matikan nyalakan data/ pake yg ribet² lagi. Janjinya maksimal 2mb/ps untuk 151K tp 1 mb aja mungkin 2-3 bulan sekali doang. Brengsek emng mudah²an di hack lagi situsnya",2024-04-30 08:30:50
"Aplikasi provider paling gak jelas. Kalau pakai koneksi byu malah loading doang gak bisa dibuka appnya dgn notif ""TERJADI KESALAHAN : Jangan panik, mohon tunggu sebentar dan kamu akan bisa kembali menikmati pengalaman telekomunikasi terbaik"". Tapi begitu ganti tethering provider lain (t*i atau ind**st) atau pakai wifi rumah baru bisa dibuka lancar appnya.",2021-10-14 15:00:13
"Harga paket paling ramah di kantong dibanding provider lain. Tapi, ada beberapa kendala/masalah yang sering saya alami, diantaranya: 1. Aplikasi terlalu berat, sehingga membuat HP cepat panas. saran saya, mending hilangkan saja fitur yang kurang penting. 2. Sinyal kurang stabil . 3. By.u kalau maintenance nggak ngasih pemberitahuan dulu, tiba-tiba sinyal hilang. Saya harap kalau memang mau maintenance, tolong beritahu pengguna, biar kami nggak kalang kabut karena tiba-tiba nggak bisa internetan.",2024-11-28 21:30:02
"untukmu yg disana! tolong dong sinyal sering bgt ilang²an, buat ngegame bikin was-was.... masuk apknya (by.U) kadang g bisa, untuk harga kuotanya memang terjangkau bisa dibilang murah drpd kartu lain, tapi? sinyalnya menyesuaikan harga. maaf bintang 4 dulu;)",2024-08-03 10:42:37
"Kecewa sama byu, awalnya bagus sinyalnya kenceng, tapi begitu pake paket yg unlimited 140rb sinyal nya langsung anjlok langsung jelek, ga bisa buat main game, ga bisa buat gmeet, malah kadang buat wa aja pending. Note: jangan beli paket byu yg unlimited kalo gamau nyesel",2020-10-16 09:04:37
"Dari pertama launching sampai saat tetap setia pake By.u . Cuma sayangnya skrng Kuota suka Tiba-tiba Habisss atau tersedot, okelah kalo mislanya dipake untuk streaming , lah ini ga dipake apa2 malah ilang atau terpotong sangat GEDE! ini mah perampokan secara tidak langsung!!!! KECEWAAAAA",2024-01-04 17:41:12
"Lumayan kecepatan internetnya mah akan tetapi Paket Internetnya mahal². Tidak seperti yang lain 😔. Terus di byu belum ada nih vocer kouta nya. Di tambah Belum ada juga poin reward dari seriap pengisian pulsa/transaksi pembelian paket kouta. Contoh seperti apk Axis net, myIM3, Telkosel dll... 😔 Mohon Updatekan fitur aplikasi yang menarik dan murahkan harga paket² tersebut agar semua pengguna merasa nyaman dalam pemakaian kartu sim byu ini 🙏.",2021-05-11 05:32:04
"Buffering terus sampe mampus! Dikira gada gangguan, nyatanya disini lemot minta ampun padahal dari awal beli sampe beberapa bulan kedepannya lancar gada hambatan sama sekali. Ehh Makin sini malah makin lemot cuma dpt sinyal 3G. Udalah ganti kartu aja",2021-04-29 16:34:46
"Kalo nonton youtube emng lancar ini jaringan, tapi kalo soal mendownload atau main game parah sih leg nya. Kecewa dengan jaringan ini. Pas pertam jaringan ini ada kecepatannya sama seperti telkomsel tapi lama kelamaan jaringannya semakin tidak stabil. Tolong diperbaikin kondisi jadingannya agar lebih stabil lagi.",2020-11-20 17:29:39
"Harga kuota ramah di kantong jaringan juga bagus, Tapi tolong lah ini aplikasi sama website sama sama susah diakses,sering bug, kesalahan jaringan terus,tolong diperbaiki untuk bugnya karna benar benar mengganggu dan sangat susah untuk diakses",2024-09-19 19:31:20
"By u udh bagus...waktu dipakai,biasanya kartu lain akan hilang sinyal waktu mati lampu butuh beberapa jam/menit untuk dapat sinyal lagi namun by u cepat mendapat sinyal walaupun kekuatan sinyal gk kuat tapi cukup buat kirim pesan sejauh ini baik tapi saya kasih bintang 4 gk bintang 5 karna Kendala pakai byu itu ketika main game online dimana sinyal terlihat berat dan susah untuk stabil seperti kartunya gk terlalu ngedukung buat dimainin game...moga aja kedepannya byu bisa stabil main game😄",2023-09-12 11:28:10
"ternyata semua juga dapat permasalahan yang sama 😭😭😭😭, login aja nggak bisa. Sama aku juga, udah berbagai macam cara dari CSnya q coba, sampai CSnya gonta-ganti, sampai muter-muter... Situ enak dibayar, dapat gaji, sini yang mbayar, nggak dapat fasilitas, mana modal dagang online adalah kuota, sakit banget rasanya; salah saya terlalu percaya sama by.U... (dari istri pemilik akun) maaf abang suami, berhubung 2x beli kartu dua2nya nggak bisa buka akun.",2021-04-30 13:29:52
"By.u sekarang lemot, dulu pertama beli bagus sinyalnya. Hmm memang provider tidak ada yg sempurna, sama seperti manusia tidak ada yg sempurna. Sinyal 4G tapi data yg logo segitiga atas bawah selalu hilang, dulu gak ada kejadian seperti itu sekarang malah parah. Sekarang gw pake vpn malah tambah kenceng, kalo gak pake lemot bet dah",2021-04-29 18:25:39
"Untuk awalnya by.u jaringan bagus lancar. Tapi knp udh 2 hri ini jaringan jelek terus, ga bisa yutub atau pesbuk, apalgi untuk gaming. Pdhl paket data baru isi 10 GB dan masih sisa 8gb. Tetapi jaringan ilang2. Gatau kenapa, entah karena gagngguan sinyal atau gimna gatau. Yg jelas kecewa sih sama jaringan nya..",2020-05-27 23:19:54
"kartu by.U awalnya doang bagus, setelah beberapa bulan jaringan E truss, tolong dong jaringan by.U diperbaiki lagi kualitas sinyal nya, jangan semakin kesini semakin buruk, setelah tau by.U makin jelek sinyalnya jadi males untuk membeli paketnya lagi, karena sinyal nya kacauu gajelas.",2024-09-14 06:07:57
"Awalnya seneng krna bnyak menu paketan buat beberapa media, tapi setiap mau masuk akun sll jaringan buruk, terjadi kesalahan selalu saja seperti itu. Kalo kuota dah habis deh baru bisa masuk akun, KECEWA bgtt,, sebelll",2021-12-25 20:33:07
"Sinyal bagus dan memuaskan,tampilan UI di aplikasinya juga simple gak ribet pokoknya semuanya udah bagus...tapi saran aku topping nya ditambahin dengan yang durasi 14 hari jadi bisa sama kaya kuota nya dengan masa aktif 14 hari...dan juga tambahkan topping kuota game biar kuota utama gak kepake buat main game",2020-08-25 09:41:34
"Semakin ke sini by.U nggak kayak dulu, sekarang harga paket mahal, jaringgan kadang bermasalah, dan yang paling bikin kesel aplikasinya setiap mau di buka selalu error dan lemot, harus di lepas pasang baru bisa buka aplikasi buat cek kuota dan pulsa, makin dipertanyakan kesunguhan by.U bikin Provider serba digital 🥲. Palinggan balesan nya cuma itu"" aja tapi kendala dan Bug nya kagak dibener""in😅",2021-07-04 07:51:40
"Jaringan lemot, sinyal suka tiba tiba ilang, mau buka aplikasi by.u tiba tiba habisa Makin kesini makin gajelas fix lah ganti provider kalo gini terus.. Buat temen temen yang baru pada mau coba pakai by.u mending jangan deh engga recommend banget nih provider. Asli bikin emosi nih provider",2024-03-05 08:53:20
"Dari prtma saya suka dengan apk ini jaringannya bagus,paketnya murah² bhkn tidk hbis² dan lancar tnpa kendala tpiiii setelah 3bln memakainya knp saat saya memesan paket topping/kuota nempel tidak bisa?jdi saya bingung harus gmna dan terulang lgi kli ini saya sangat kecewa!!. Tolong perbaiki lagi jangan smpai terulang lgi seperti itu🙏",2020-06-08 21:47:40
"Awal awal emang sih gak ngelage lage banget. Tpi makin kesini jaringannya makin bagus, gw download pernah salep 4 Mbps. Jadi buat kalian yg bilang jelek mungkin emang lokasi kalian yg kurang tepat. Oh Iyah min, pilihan topping nya di perbanyak min, contoh topping khusus game 👍👍",2020-05-15 20:02:14
"Udah 2 tahun Makai by.u jaringan nya makin jelek, udah hampir seminggu cuma bisa buat mutar Spotify dan wa doang. Tiktok, ig, yt gak jalan, bohong aja kecepatan 2 Mbps yang ada 250 Kbps, gak ada perbaikan bulan besok ganti kartu.",2023-02-01 12:17:38
"Telkomsel Perusahaan BUMN, tapi harga paket internetnya sangat mahal gak ngotak seperti mencekik leher konsumen dibandingkan provider kompetitor lainnya, memang ada solusinya bisa menggunakan kartu by.u harga paket lebih murah tapi faktanya konsumsi paketnya juga sangat boros dengan catatan paket, smartphone, dan penggunaan yang sama. borosnya 2 kali lipat dibanding kartu Telkomsel lainnya belum lg sinyal yang kurang stabil.",2024-11-14 06:45:17
"Saya suka sekali dengan by.u dari pilihan paket internetnya sampai ada kuota toppingnya juga jadi gk bakalan ke bagi² lagi deh, apa lagi selalu ada promo terbaru yang bikin ketagihan 😋. Walaupun sinyalnya kadang berubah-berubah dari yang 4G ke 3G :""( tapi internetnya masih tetep lancar :"") Sama tambahannya coba dong tambahin topping kuota gaming, tambah opsi pengiriman kartu lewat J&T Express, sama tambahin kuota untuk berberapa bulan kaya kuota buat 3 dan 6 bulan. Semangat terus By.U ;"")",2020-12-02 12:12:49
"Tambah lama tambah gak jelas, aplikasi kluar sendiri, minta refres terus di refres minta refres lagi, udah ON OFF airplane mode, on off hp juga, uninstal trus downoad lagi app nya, tetap gak bisa juga. Padahal udah terlanjur isi pulsa, buat di pake beli data aja susah.",2024-03-31 21:39:09
"By. U kualitas menurun, appnya sering error gajelas dan anehnya selalu gabisa dibuka pake paketan by u sendiri, trs juga gabisa dibuat buka app tertentu kyk misalnya zoom, saranku sih mending by.u dibikin bisa beli paket data di luar aplikasi alias pake dial number gitu",2021-08-24 22:49:06
"Numpang komplain, pengiriman lama katanya 3 hari 5 hari di tracking baru sampai tujuan dan yg lebih parahnya lagi paket sampe sekarang belum sampai, di tracking sudah diterima padahal barang belum ditangan sama sekali, ini yg salah pihak ekspedisi atau dari by.u nya? saya sudah komplain ke ekspedisi belum ada tanggapan, saya juga sudah komplain ke pihak by.u belum ada tanggapan juga",2020-02-06 22:10:39
"Dulu pas awal awal pake byU, Sinyal nya lancar lancar aja, Makin kesini malah sinyalnya jadi jelek banget, Buat main game aja susah, loading loading terus, udah kirim keluhan tapi slowrespon, Makin kecewa sama ByU , tolong dong di perbaiki kualitas sinyal nya",2020-09-19 20:09:44
"Ini provider kalo nomornya gk bsa di atur gua gk akan make, sinyal susah, kalo mati lampu sinyal 4G tapi gak bisa internetan, kalo ga ada perkembangan lama2 gua ganti, udah gtu aplikasi di buka sering error. tolong perbaiki, lama2 klo gini terus kaga ada yg bakal make.",2022-01-20 01:29:37
"baru ngisi kuota + netflix, gak kepake semua, sinyal lemot, netflix juga gak mau masuk sistem eror gak bisa diproses, skip ganti, kalau kalian mau nyoba silahkan ambil yg paling kuota murah daripada kecewa, aku sudah langganan lama 2tahun lebih, dulu enak sumpah enak, sekarang boro² kepake lemot bukan main. skip ganti yg lain. dibawah balesan bot. mana guna. 😴",2024-12-18 21:33:11
"Hi byu kenapa akhir2 ini sinyal byu sering hilang, masuk aplikasi susah sekali tolong di perbaiki karena pengguna lainnya jg sama seperti saya, ini bukan masalah device, APN atau slot SIM card tapi ini error dari sistem Byu sendiri. Trimakaih",2023-11-23 13:16:32
"Paket data yg ditawarkan terlalu sedikit dan susah untuk mencari center offline terdekat, untuk urusan sinyal okelah standar dan harga masih rata rata pelajar lah, pesan saya tambahkan lagi pilihanya yg menurt saya sangt terbatas itu, karena anak muda milenial sekarang penuh pilihan untuk berexpresi lebih luas dan bebas🔥",2020-07-13 07:02:03
"Sangat praktis untuk digunakan, pilihan topping sesuai kebutuhan, dan pilihan pembayaran beragam. Saran: tambah jenius pay sebagai metode pembayaran, tambah fitur yang lebih berguna sesuai kebutuhan pengguna. Saya ga tau apa fitur tsb. Harus dilihat dari aktivitas pengguna.",2020-05-26 05:09:58
"bobrok! baru kali ini sekecewa ini dengan by u, kartu dibeli sudah diaktivasi tapi jaringan tidak jalan sama sekali, komplain cs, pesan saya malah tidak bisa dikirim tanpa sebab, mana repot loading aplikasinya. udah bayar malah gini jadinya, cukup udah terakhir beli by u, galagi!!!",2024-08-02 12:36:37
"Aplikasi jarang banget bisa dibuka,, mau cek kuota jadi susah,, kalo bisa cek lewat panggilan kaya kartu bisa alternatif kalo aplikasi ga bisa kebuka atau gimana,, soalnya udah sering banget buka aplikasi ga bisa udah diulang"" juga gabisa tetep,, kesel sendiri",2022-04-10 06:05:51
"Aplikasi provider terlemot kedua setelah my xl. Buset masuknya loading terus padahal aku pake kuota + wifi masih aja. Udah gitu pas mau ngecek kuota tiba"" ada tulisan terjadi kesalahan. Di muat ulang tetep aja sama. Buset dah",2024-08-05 20:18:00
"Waktu Awal Order By.U pengiriman sesuai hari yg ditentukan sdh sampai, sudah setting APN : nama byu APN byu Operator LTE, sinyal data kadang hilang2 tidak stabil meski hanya 10detik, mohon perbaikan kualitas min, paketan Data juga tambah menurun, unlimited 2Mb 140rb sudah hilang jadi cuma 1,5Mb aja kok malah penurunan harusnya peningkatan minimal tetap",2021-01-20 08:14:19
"Tolong masalah sistem cepat-cepat di perbaiki ya,sering banget error by u Padahal bagus,niat mau langganan terus ke by u tapi kalau sering banget error jadi ga enak pakenya,apa lagi pas buru"" beli paket internet buka aplikasi malah sedang pemeliharaan sistem",2024-03-23 02:09:56
"jaringan lumayan,Tampilan juga bagus.Saya ada saran untuk tim by.u untuk menambahkan pembayaran bisa 2lewat pembayaran contoh nya(pulsa&dana) jadi untuk mempermudah yg saldo nya yang kurang.Mungkin saran saya bisa di diskusi kan oleh pihak tim by.u dan saya sangat menghargai saran saya jika di acc",2024-08-11 03:31:34
"Ini kenapa tiap kali mau pembayaran pakai Link Aja selalu close sendiri?? Terus aplikasi suka lag/macet. Saya kira hp saya tapi waktu udah di restart/dibersihkan cache nya ya sama aja:(( Tolong di perbaiki secepatnya, ini kuota saya cuma tinggal 1gb kurang dari gift aniv 3 bulan yg dikasih",2021-04-17 04:23:55
"Semenjak diperbarui jadi versi terbaru ko jadi jelek ya, aplikasinya berat, masuknya lamaa, sering keluar tiba2 juga tiap masuk harus log in lagi log in lagi, setelah diperbarui saya beli kuota dan sampai sekarang belum masuk, sudah chat lewat aplnya tapi tidak ada respon, lewat email juga, lewat IG juga sama. Gmna ya? Tolong dong dibantu. Saya sudah lama pake by.U, agak kecewa sih dgn masalah skrng.",2020-05-12 21:27:02
Makin lama jaringan nya makin sue jaringan full hp mendukung bgt eh dipake main game jaringan nya sue nyesel udh di ON OFF airplane mode masih jelek di ganti ke 2G only terus ke otomotis lagi jaringan nya malah tambah parah. Jelek banget teman² mending provider lain sekarang mah. By.U kalah jauh sama indosat.,2022-12-26 15:35:03
"Koneksi internet kadang terputus dengan sendirinya,dan masalah pada koneksinya yang pada saat tertentu kadang suka eror atau detail nya padahal 4G sinyal tapi lemot banget itu saja yang membuat saya kecewa terhadap kartu/internet by.u.",2024-11-26 20:25:35
"Gmn ini kok ttp gk bisa buka apk by u udah d update ttp aja, paket data masih banyak tp percuma kalo jaringan 4G tp gk bisa buat apa2 kuliah jadi terkendala segera diperbaikilah kalau gk mau kehilangan pelanggan. Semua langkah udah dilakui ttp aja ini. Jalan keluarnya lah",2021-06-12 23:40:50
"Kepada pihak ByU Keluhan : Kenapa akhir-akhir ini sinyal jadi jelek banget saya udah pake selama 2 tahun aman-aman aja, tapi udah sekitar 2 bulan sinyal jadi sangat jelek, dan akhir-akhir bahkan sampai hilang jaringannya bertanda (X) atau hanya 1-2 bar sinyal saja. Saran : mohon untuk diperbaiki lagi untuk sistemnya agar pengguna lain dengan keluhan yang sama bisa nikmatin lagi sistem ByU. Terimakasih",2024-09-14 22:55:29
"Murah sih termasuk nya, dikota kota besar sinyal bagus, cuma untuk di beberapa tempat suka gada sinyal, dan kalau awal ada pemberitahuan harus di update emg bisa update nanti, tapi lama lama kalau lupa update harus update dan gabisa buka apk padahal untuk beli Quota sdngkan update nya harus pake Quota. Kadang di outlet kaya indo/Alfa by.u suka bermasalah, dan di counter pulsa biasa suka gamasuk hanya untuk nomer by.u. paling aman pake dana/gopay buat pulsa/Quota.",2021-01-27 20:19:04
"By.u aplikasinya error terus, terjadi kesalahan, selalu dan selalu, kuota masih dan sinyal juga banyak, cek kuota tidak bisa nunggu kuotanya habis baru bisa lagi dibuka aplikasinya, untuk beli kuota lalu kalau nanti mau dicek lagi dan lagi terjadi kesalahan. Mendingan by.u pakai cara lama aja, dial phone atau sms, karena sudah enam bulan lalu masalah seperti ini juga belum teratasi, palingan disuruh untuk dm semua sosmed yang ada, dan jujur dari lubuk hati yg paling dalam itu tidak membantu, thx",2021-10-03 09:29:33
"Sekarang makin menurun by.u, sudah tidak seperti awal, sinyal sering down, saat mau isi paket susah buka aplikasinya, sellu minta update aplikasi. Dan sekarang keterang terjadi kesalahan sistem dan g aplikasi gak bisa dibuka.",2021-08-24 20:09:48
"By.U ada call center nya ga ya? Kok tiba* aplikasi ga bisa jalan, masalah jaringan trus, padahal di nomer by.u punya temen* aku bisa semua buat masuk aplikasi, tolong bantuannya dong para admin atau kalo ada call centernya tambah enak jadi ga bingung kalo ada masalah kyak gini ngadu dimna. Makasih",2022-02-11 10:38:25
"Untuk kecepatan jaringan mohon lebih ditingkatkan soalnya mau main game kadang suka disconnect Mulu, sedangkan pakai kartu sebelah nggak pernah kayak gini, mohon kepada pihak BY U untuk lebih meningkatkan performa jarinyannya, jika sudah maka akan saya berikan bintang 5 lagi🙏🙏🙏",2024-07-10 09:13:18
Sejauh ini baik.. kartu baru tiba tadi sore.. yah ada beberapa kendala... Buat temen2 yg mengalami kendala dalam pengiriman kartu.. saya sarankan terus kontak cs..maupun kurir.. gunanya untuk mengupdate data..krna kemungkinan data error.. dan pastinya dibutuhkan kesabaran lebih .. seperti yg saya alami sampai 2 kali misroute... Klo kualitas menurut saya baik.. klo respon cs menurut pengalaman saya sih tergantung siapa officer nya... Tapi offer all.. sebagai provider baru by.u.. ok lah...,2020-05-29 19:13:01
"Parah nih sinyal jaringan by.U padahal pake jaringannya TELKOMSEL yg super luas dan paling kenceng, tapi apa saya internetan kok lemot, buka youtube buffering, apalagi buat download kecepatannya data 400-600kb/s, kadang stabil di 200kb/s. TOLONGLAH tingkatin lagi jaringannya dan speed internet, jangan mengecewakan kami sebagai pengguna setia by.U 🙏🙏",2020-05-26 13:10:01
Asli sampah bener. Setelah update bukan lebih baik malah lebih jelek aplikasinya. Bukak aplikasi selalu gagal. Gimana cara cek kouta kalo gini. Giliran pas beli paket lancar bener. Giliran mau masuk aplikasi lagi malah gagal. Tolong donk gimana sih sinyal lancar kok aplikasinya ngawur gini,2021-04-26 21:08:17
Tiyap transaksi pembelian paket data..masuknya lama sekali hampir 1 harian baru masuk....ribet ngisi data lah ini lah itu lah....padahal udah di transfer dari malam dan transferanya uda masuk tp prosesnya lama!!! KECEWA,2021-03-09 17:46:22
"Makin lama makin jelek jaringannya, makin lama makin gak pantes untuk direkomendasikan ke orang lain. Tlg kerja dong yg bgian IT maintenance jaringan, bgini amat.. Signal gambar 4G tp buat wa pending, buka map gk bisa, internet gk mau kbuka, buka aplikasi by.u nya aja bisa2 nya sering trouble, lol",2024-04-17 12:52:15
"Ga berubah aplikasi dan sinyalnya. Dlu udh kecewa dan skrng sempet mau nyoba by.u lg kali aj udh bener semua masalahnya, tapi malah nihil. Apk ga bisa kebuka udh di apus dan install ttp sama, dhl mo beli paket data, mau cek data juga ga bisa. Sinyal kadang ilang tanpa sebab pas banget lagi butuh koneksi lagi 🥲 MAKASI YA BY.U ayo perbaiki dong masalahnya",2023-12-11 13:18:39
Aturan fup baru untuk paket unlimite 2mbps sangat meresahkan. Meski di isi ulang tp kalau batas waktu sebelumnya belum habis terpaksa harus menikmati paket yg limit fup sebelumnya dg speed yang parah dan gk bs buat apa-apa. Aturan apaan ini? Sangat konyol. Tolonglah di koreksi lagi aturannya !,2022-09-29 20:11:40
"1. Sinyal gak stabil tiba tiba ilang gak tau kemana, udah di mode pesawat udah di restart tetep sinyalnya ilang gak stabil. 2. Aplikasi by.U sering banget eror banyak banget kendala kalau buka aplikasi by.U kadang logout sendiri. 3. Cara login pakai nomer telfon kadang eror entah kenapa. Saya suka pakai by.U karena mudah di gunakan tapi kalau pelayanan gak di tingkatkan bisa di tinggalkan. Thks",2024-08-29 20:18:19
"FUP, layanannya kurang memuaskan, kalau batas FUP nya udah terlewati ngga ada pemberitahuannya dan juga kalau mau di isi ulang tetap belum bisa dipakai kuota yang barunya, karena Paket yang lama masih berjalan Tolong diperbaiki atau hilangkan sistem FUP nya",2022-12-20 20:10:53
"Kecewa dengan signal yang tidak stabil, padahal awalnya saya beli kartu ini karna paket murah dan berharap signalnya bagus untuk main game. Setelah beberapa lama bulannya senang justru malah emosi karna ping yang awalnya 70ms bisa loncat ke 285ms.engga masuk akal. Saya sudah chat dengan CS by.u dan disuruh ini itu tapi sama sekali tidak ada perubahan, disuru pindah ke only 3G yang mana pingnya justru stabil di 285ms. 4G tidak stabil 3G stabil di 285ms sangat memuaskan",2021-11-02 13:55:17
"Sinyalnya kuat, kayak rata rata. Tapi Kalah kejernihan gambar online , Ama XL dan Saudaranya by u yaitu Telkomsel. Di buat belajar lewat aplikasi daring seperti zoom, web lewat email dan aplikasi lain. Gambarnya pecah pecah. Enggak sejernih pakai XL dan Saudaranya by u yaitu Telkomsel. Mohon diperbaiki, biar kami bisa jelas, melihat materi pembelajaran online di zoom, web lewat email dan aplikasi lain. Kalau YouTube jernih sih. Tapi aplikasi lain, sedih lihatnya.",2021-04-10 12:48:34
"awal mula beli byu karna ada paket unlimitednya. begitu kartunya sampe eh ternyata udah ga ada pilihan unlimitednya. sangat disayangkan karna dengan adanya paket unlimited bisa membuat yg lain beralih provider ke byu. kalau cuma awal2an doang buat apa. kalo bisa dibuat permanen biar beda sama yg lain. oh ya, mengenai kecepatannya biasa aja, kadang jaringannya H+ kalo bisa ditingkatkan lagi apalagi untuk paket unlimitednya, aku naikin bintangnya.",2020-08-18 23:04:11
